Bangla,English,Botany,Zoology,Physics,Chemistry,Math,Ict,Gpa
,52,44,43,49,51,34,53,3.5
45,54,41,58,38,44,35,61,3.5
52,52,41,39,59,44,34,55,3.5
52,62,44,46,42,43,31,55,3.5
53,58,50,52,52,45,30,58,3.43
66,53,46,50,47,38,35,58,3.43
73,55,57,57,44,36,12,59,3.43
54,55,48,51,44,44,27,68,3.43
65,46,38,55,39,52,33,60,3.43
59,53,48,49,43,41,30,61,3.43
76,51,42,41,49,42,29,56,3.42
66,56,36,46,38,48,34,56,3.42
55,55,42,51,40,44,32,57,3.42
50,52,52,49,51,44,36,56,3.36
55,56,48,51,41,47,31,57,3.36
68,50,35,38,46,55,41,52,3.36
61,58,45,58,42,43,31,47,3.36
71,48,39,51,46,47,27,53,3.36
57,55,44,55,41,54,21,51,3.36
50,60,46,55,47,32,29,53,3.36
63,46,46,54,34,47,20,61,3.36
57,50,47,54,38,50,21,50,3.36
52,46,42,58,47,40,17,65,3.36
74,57,52,46,35,42,28,59,3.33
68,51,56,50,41,33,29,53,3.33
63,54,34,47,40,44,29,61,3.33
50,53,47,50,36,41,28,65,3.33
48,55,37,47,40,46,50,47,3.33
70,56,30,47,33,47,31,55,3.33
44,52,47,45,46,52,31,41,3.33
74,54,36,45,36,52,40,54,3.29
57,38,53,55,43,54,28,58,3.29
61,64,53,54,32,37,25,53,3.29
60,62,44,54,39,33,25,59,3.29
64,54,50,48,33,47,20,55,3.29
50,54,36,51,57,47,19,56,3.29
71,40,41,48,46,37,26,61,3.29
62,57,35,50,38,41,9,60,3.29
70,50,38,55,36,44,0,58,3.29
65,45,43,45,53,44,29,51,3.25
48,57,50,45,33,49,35,55,3.25
43,42,37,50,57,45,41,46,3.25
41,44,51,59,41,47,30,46,3.25
60,48,51,59,52,41,23,44,3.21
51,64,43,51,37,47,23,59,3.21
75,51,47,44,40,30,22,59,3.21
42,44,46,57,45,48,28,57,3.21
60,52,35,58,44,35,22,61,3.21
52,46,41,47,45,30,46,58,3.21
52,54,49,46,44,44,25,46,3.21
52,62,43,50,33,55,17,48,3.21
45,62,43,47,36,46,15,66,3.21
59,51,39,50,35,42,15,61,3.21
54,51,42,49,39,42,10,57,3.21
61,45,35,53,38,38,10,62,3.21
68,48,48,51,52,35,29,59,3.17
58,55,43,35,52,47,29,58,3.17
74,33,46,39,48,29,33,61,3.17
63,56,38,43,42,35,36,50,3.17
54,37,38,44,44,43,40,57,3.17
57,51,41,43,41,37,31,55,3.17
68,46,38,52,38,43,27,56,3.14
52,61,43,44,33,46,30,57,3.14
59,61,33,51,41,38,23,54,3.14
61,58,41,52,32,40,19,55,3.14
50,53,36,41,42,42,32,60,3.14
36,48,43,50,56,52,34,46,3.08
49,41,32,43,55,46,44,41,3.08
66,60,37,45,33,44,31,55,3.07
