"Rank","Bangla","English","Botany","Zoology","Physics","Chemistry","Math","Ict","Total","Gpa"
"402","","52","44","43","49","51","34","53","380","3.5"
"403","45","54","41","58","38","44","35","61","376","3.5"
"404","52","52","41","39","59","44","34","55","376","3.5"
"405","52","62","44","46","42","43","31","55","375","3.5"
"406","53","58","50","52","52","45","30","58","398","3.43"
"407","66","53","46","50","47","38","35","58","393","3.43"
"408","73","55","57","57","44","36","12","59","393","3.43"
"409","54","55","48","51","44","44","27","68","391","3.43"
"410","65","46","38","55","39","52","33","60","388","3.43"
"411","59","53","48","49","43","41","30","61","384","3.43"
"414","76","51","42","41","49","42","29","56","386","3.42"
"415","66","56","36","46","38","48","34","56","380","3.42"
"416","55","55","42","51","40","44","32","57","376","3.42"
"421","50","52","52","49","51","44","36","56","390","3.36"
"422","55","56","48","51","41","47","31","57","386","3.36"
"423","68","50","35","38","46","55","41","52","385","3.36"
"424","61","58","45","58","42","43","31","47","385","3.36"
"425","71","48","39","51","46","47","27","53","382","3.36"
"426","57","55","44","55","41","54","21","51","378","3.36"
"427","50","60","46","55","47","32","29","53","372","3.36"
"428","63","46","46","54","34","47","20","61","371","3.36"
"429","57","50","47","54","38","50","21","50","367","3.36"
"430","52","46","42","58","47","40","17","65","367","3.36"
"431","74","57","52","46","35","42","28","59","393","3.33"
"432","68","51","56","50","41","33","29","53","381","3.33"
"435","63","54","34","47","40","44","29","61","372","3.33"
"436","50","53","47","50","36","41","28","65","370","3.33"
"437","48","55","37","47","40","46","50","47","370","3.33"
"438","70","56","30","47","33","47","31","55","369","3.33"
"439","44","52","47","45","46","52","31","41","358","3.33"
"440","74","54","36","45","36","52","40","54","391","3.29"
"441","57","38","53","55","43","54","28","58","386","3.29"
"442","61","64","53","54","32","37","25","53","379","3.29"
"445","60","62","44","54","39","33","25","59","376","3.29"
"446","64","54","50","48","33","47","20","55","371","3.29"
"447","50","54","36","51","57","47","19","56","370","3.29"
"448","71","40","41","48","46","37","26","61","370","3.29"
"449","62","57","35","50","38","41","9","60","352","3.29"
"450","70","50","38","55","36","44","0","58","351","3.29"
"451","65","45","43","45","53","44","29","51","375","3.25"
"452","48","57","50","45","33","49","35","55","372","3.25"
"453","43","42","37","50","57","45","41","46","361","3.25"
"454","41","44","51","59","41","47","30","46","359","3.25"
"455","60","48","51","59","52","41","23","44","378","3.21"
"456","51","64","43","51","37","47","23","59","375","3.21"
"460","75","51","47","44","40","30","22","59","368","3.21"
"461","42","44","46","57","45","48","28","57","367","3.21"
"462","60","52","35","58","44","35","22","61","367","3.21"
"463","52","46","41","47","45","30","46","58","365","3.21"
"464","52","54","49","46","44","44","25","46","360","3.21"
"465","52","62","43","50","33","55","17","48","360","3.21"
"466","45","62","43","47","36","46","15","66","360","3.21"
"467","59","51","39","50","35","42","15","61","352","3.21"
"468","54","51","42","49","39","42","10","57","344","3.21"
"469","61","45","35","53","38","38","10","62","342","3.21"
